25 - 34,Female,Bachelor's Degree,portugal,I have some experience (have taken courses or dabble in it).,Multiple times a day,I have taken courses or received training.,5,5,5,4,5,3,5,3,4,4,5,5,3,3,4,4,3,3,4,5,5,4,5,5,5,5,1,1,1,1,1,4,2,1,2,3,4,1,1,2,3,3,3,3,1,2,1,2,2,4,1,1,1,1,1,1,1,4,4,5,5,5,5,5,5,no
18 - 24,Male,Bachelor's Degree,Israel,I have some experience (have taken courses or dabble in it).,Multiple times a day,I have taken courses or received training.,2,1,1,2,2,3,4,2,3,4,4,3,4,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,2,1,2,2,1,1,5,4,4,4,5,3,4,4,no
18 - 24,Male,Bachelor's Degree,Canada,I have some experience (have taken courses or dabble in it).,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,4,5,5,4,4,4,4,3,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,4,2,2,3,1,1,1,1,1,4,4,4,4,4,2,3,3,First one was the most realistic
35 - 44,Male,Doctorate or higher,Italy,I have some experience (have taken courses or dabble in it).,Weekly,"No, but I appreciate the arts and often view such content.",2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,all clear
18 - 24,Female,Bachelor's Degree,Mexico,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",4,5,5,3,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,1,2,2,3,4,1,2,1,1,3,3,3,4,5,4,4,4,4,4,5,4,5,1,1,1,1,1,5,5,5,5,5,5,5,5,all good
25 - 34,Male,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, I'm a professional.",1,4,3,1,2,5,5,3,5,2,4,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,The second image looks realistic.
18 - 24,Male,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Daily,"Yes, as a hobby or pastime.",4,5,4,5,5,4,4,4,4,3,4,3,3,3,4,3,2,3,2,2,3,2,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,4,2,1,1,
25 - 34,Male,Bachelor's Degree,Mexico,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, I'm a professional.",5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,4,4,2,2,5,1,5,5,
25 - 34,Female,Associate's Degree or equivalent,South Africa,I'm familiar but don't have hands-on experience.,Rarely,"No, but I appreciate the arts and often view such content.",5,5,5,5,4,2,2,1,2,4,4,3,3,4,3,4,4,4,4,4,2,2,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,N\A
18 - 24,Female,Bachelor's Degree,South Africa,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,4,4,4,4,4,5,5,4,2,4,4,2,3,2,4,3,3,5,5,5,4,1,1,1,1,1,4,4,3,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,5,5,5,,4,4,3,3,Thanks for the opportunity!
45 - 54,Female,Bachelor's Degree,United Kingdom,I've heard of it but don't know much.,Weekly,"No, but I appreciate the arts and often view such content.",2,2,2,2,2,4,4,4,4,2,2,2,3,5,5,5,5,5,2,2,2,2,5,5,5,3,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,4,4,4,4,5,4,4,5,5,5,4,1,1,1,1,1,5,5,2,4,5,2,5,5,
55 - 64,Male,Bachelor's Degree,SPAIN,I've heard of it but don't know much.,Daily,"Yes, as a hobby or pastime.",5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NONE
18 - 24,Male,Associate's Degree or equivalent,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,4,5,4,4,4,4,5,5,5,5,4,4,5,4,4,3,3,3,3,3,2,3,5,4,4,4,1,1,1,1,1,2,3,3,1,1,3,1,1,2,2,2,2,2,3,3,3,2,4,4,2,2,1,1,1,1,1,4,4,3,3,4,2,4,4,
25 - 34,Female,Bachelor's Degree,Hungary,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",5,5,4,4,4,5,5,4,4,5,3,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,3,2,2,2,3,3,3,4,1,1,1,1,1,5,3,2,3,4,4,3,2,
